cov,mean,sd,min_raw,max_raw,min_zscore,max_zscore
z_jld_rampdur,10.035714285714286,5.714301948028889,3,31,-1.2312465021455876,3.668739577459187
z_jld_rampratemindoy,270.44642857142856,7.924460733834064,252,280,-2.3277834531591757,1.2055800072024805
z_jld_winvar,0.04309831821277914,0.06493492537435683,0.00306539256014557,0.3200299315794884,-0.6165083800718866,4.264756011809803
z_jld_summean,2700.374433106576,837.6155303128826,1262.888888888889,4616.666666666667,-1.7161639107631268,2.287794536049588
z_jld_peakmag,5884.821428571428,1921.197534750778,2850,11700,-1.5796509071437634,3.026850943873884
z_jld_peaktime,286.10869565217394,15.948846368408336,235,321,-3.2045387153148988,2.1877008243642733
z_natq_peakmag,10948.125,3603.320658958427,4341,19600,-1.8336211581874176,2.401083838733604
z_natq_peaktime,277.625,11.863810517704673,252,304,-2.159929978800584,2.2231474415947474
z_temp_falmean,4.046825449478019,1.0423174854641668,1.3706896551724137,6.266111111111111,-2.567486232962756,2.1291839507468255
z_temp_winmean,-9.288656258835433,1.797954152719976,-13.808045977011494,-5.763125,-2.5136290106947676,1.9608571517254467
z_temp_sprmean,2.3754681896223655,1.296409609519546,-0.6370967741935484,5.405913978494624,-2.323775558044792,2.33756813172293
z_temp_summean,14.80996106252668,1.1392229232920426,11.37087912087912,17.453296703296704,-3.0187962964347257,2.320297096139452
